datetime,open,high,low,close,volume,average,barCount
2025-08-18 17:15:00-04:00,1.166175,1.166185,1.16617,1.16617,-1.0,-1.0,-1
2025-08-18 17:16:00-04:00,1.16617,1.16622,1.16617,1.16622,-1.0,-1.0,-1
2025-08-18 17:17:00-04:00,1.16622,1.16622,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:18:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:19:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:20:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:21:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:22:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:23:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:24:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:25:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:26:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:27:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:28:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:29:00-04:00,1.1662,1.1662,1.1662,1.1662,-1.0,-1.0,-1
2025-08-18 17:30:00-04:00,1.1662,1.16623,1.1662,1.16621,-1.0,-1.0,-1
2025-08-18 17:31:00-04:00,1.16621,1.166225,1.166205,1.166205,-1.0,-1.0,-1
2025-08-18 17:32:00-04:00,1.166205,1.16622,1.166205,1.16622,-1.0,-1.0,-1
2025-08-18 17:33:00-04:00,1.16622,1.16622,1.166205,1.166205,-1.0,-1.0,-1
2025-08-18 17:34:00-04:00,1.166205,1.16621,1.166175,1.166175,-1.0,-1.0,-1
2025-08-18 17:35:00-04:00,1.166175,1.166175,1.166165,1.166175,-1.0,-1.0,-1
2025-08-18 17:36:00-04:00,1.166175,1.166195,1.166165,1.166185,-1.0,-1.0,-1
2025-08-18 17:37:00-04:00,1.166185,1.16619,1.16618,1.16619,-1.0,-1.0,-1
2025-08-18 17:38:00-04:00,1.16619,1.16619,1.16619,1.16619,-1.0,-1.0,-1
2025-08-18 17:39:00-04:00,1.16619,1.16619,1.16614,1.16616,-1.0,-1.0,-1
2025-08-18 17:40:00-04:00,1.16616,1.16616,1.166135,1.16614,-1.0,-1.0,-1
2025-08-18 17:41:00-04:00,1.16614,1.16614,1.16614,1.16614,-1.0,-1.0,-1
2025-08-18 17:42:00-04:00,1.16614,1.16614,1.166135,1.166135,-1.0,-1.0,-1
2025-08-18 17:43:00-04:00,1.166135,1.166135,1.166135,1.166135,-1.0,-1.0,-1
2025-08-18 17:44:00-04:00,1.166135,1.166135,1.16613,1.16613,-1.0,-1.0,-1
2025-08-18 17:45:00-04:00,1.16613,1.16616,1.166125,1.16616,-1.0,-1.0,-1
2025-08-18 17:46:00-04:00,1.16616,1.16616,1.16616,1.16616,-1.0,-1.0,-1
2025-08-18 17:47:00-04:00,1.16616,1.16616,1.16615,1.16615,-1.0,-1.0,-1
2025-08-18 17:48:00-04:00,1.16615,1.16616,1.16615,1.16616,-1.0,-1.0,-1
2025-08-18 17:49:00-04:00,1.16616,1.16616,1.16615,1.16615,-1.0,-1.0,-1
2025-08-18 17:50:00-04:00,1.16615,1.16615,1.16615,1.16615,-1.0,-1.0,-1
2025-08-18 17:51:00-04:00,1.16615,1.16615,1.16612,1.16612,-1.0,-1.0,-1
2025-08-18 17:52:00-04:00,1.16612,1.16612,1.16612,1.16612,-1.0,-1.0,-1
2025-08-18 17:53:00-04:00,1.16612,1.166135,1.16611,1.166125,-1.0,-1.0,-1
2025-08-18 17:54:00-04:00,1.166125,1.166125,1.166125,1.166125,-1.0,-1.0,-1
2025-08-18 17:55:00-04:00,1.166125,1.166125,1.166125,1.166125,-1.0,-1.0,-1
2025-08-18 17:56:00-04:00,1.166125,1.166125,1.166105,1.166105,-1.0,-1.0,-1
2025-08-18 17:57:00-04:00,1.166105,1.166145,1.166105,1.166145,-1.0,-1.0,-1
2025-08-18 17:58:00-04:00,1.166145,1.166145,1.16614,1.166145,-1.0,-1.0,-1
2025-08-18 17:59:00-04:00,1.166145,1.166205,1.16614,1.1662,-1.0,-1.0,-1
2025-08-18 18:00:00-04:00,1.1662,1.16625,1.166095,1.166145,-1.0,-1.0,-1
2025-08-18 18:01:00-04:00,1.166145,1.16632,1.1661,1.16631,-1.0,-1.0,-1
2025-08-18 18:02:00-04:00,1.16631,1.16638,1.166175,1.166185,-1.0,-1.0,-1
2025-08-18 18:03:00-04:00,1.166185,1.166215,1.166145,1.16618,-1.0,-1.0,-1
2025-08-18 18:04:00-04:00,1.16618,1.16655,1.16614,1.166545,-1.0,-1.0,-1
2025-08-18 18:05:00-04:00,1.166545,1.167025,1.166545,1.166965,-1.0,-1.0,-1
2025-08-18 18:06:00-04:00,1.166965,1.16704,1.166875,1.167025,-1.0,-1.0,-1
2025-08-18 18:07:00-04:00,1.167025,1.16727,1.167,1.16725,-1.0,-1.0,-1
2025-08-18 18:08:00-04:00,1.16725,1.16751,1.16725,1.16738,-1.0,-1.0,-1
2025-08-18 18:09:00-04:00,1.16738,1.1674,1.167225,1.16734,-1.0,-1.0,-1
